Paper Number,Author,Word Count,Character Count
1,Hamilton,1611,9331
2,Jay,1707,10229
3,Jay,1476,8739
4,Jay,1650,9604
5,Jay,1369,8251
6,Hamilton,2048,12274
7,Hamilton,2307,13900
8,Hamilton,2101,12570
9,Hamilton,2034,12097
10,Madison,3038,17926
11,Hamilton,2547,15008
12,Hamilton,2181,12937
13,Hamilton,983,5790
14,Madison,2176,12747
15,Hamilton,3155,18520
16,Hamilton,2067,12155
17,Unknown,1590,9710
18,Unknown,2116,12905
19,Unknown,2100,12839
20,Unknown,1537,9637
21,Hamilton,2016,11889
22,Hamilton,3620,21204
23,Unknown,1833,10825
24,Hamilton,1856,10915
25,Hamilton,2004,11596
26,Hamilton,2417,13916
27,Hamilton,1447,8481
28,Hamilton,1628,9665
29,Hamilton,2262,12971
30,Hamilton,1965,11581
31,Hamilton,1747,10232
32,Hamilton,1468,8655
33,Hamilton,1691,9752
34,Hamilton,2241,12972
35,Hamilton,2274,13307
36,Hamilton,2768,16016
37,Madison,2771,16771
38,Madison,3375,19617
39,Madison,2636,15544
40,Madison,3059,18290
41,Madison,3604,21137
42,Madison,2818,16905
43,Madison,3479,20703
44,Madison,2933,17389
45,Madison,2149,12909
46,Madison,2669,15912
47,Madison,2770,16928
48,Madison,1885,11491
49,Madison,1675,9949
50,Madison,1131,6870
51,Madison,1946,11639
52,Madison,1894,11183
53,Madison,2215,13114
54,Madison,2024,11775
55,Madison,2078,12108
56,Madison,1589,9508
57,Madison,2262,13142
58,Madison,2133,12727
59,Hamilton,1940,11257
60,Hamilton,2281,13290
61,Hamilton,1542,8834
62,Madison,2449,14397
63,Madison,3093,18384
64,Jay,2350,13606
65,Hamilton,2060,11968
66,Hamilton,2297,13244
67,Hamilton,1687,9992
68,Hamilton,1518,8761
69,Hamilton,3045,17595
70,Hamilton,3169,18705
71,Hamilton,1722,9950
72,Hamilton,2113,12275
73,Hamilton,2406,13905
74,Hamilton,1026,5953
75,Hamilton,1967,11414
76,Hamilton,1966,11336
77,Hamilton,1996,11691
78,Hamilton,3109,18344
79,Hamilton,1059,6187
80,Hamilton,2504,14842
81,Hamilton,3954,22798
82,Hamilton,1614,9418
83,Hamilton,5874,33940
84,Hamilton,4303,24861
85,Hamilton,2755,16008
